"screen_name","text"
"HillaryClinton","Millions of Americans will put tax checks in the mail today. Meanwhile, the secretary of the treasury and head of the IRS continue to refuse to turn over Trump's tax returns to Congress for reasons even they can't clearly articulate. #TaxDay"
"HillaryClinton","Our freshman class includes intelligence analysts, nurses, veterans, and - ahem - law professors. I think we can handle it. https://t.co/XORMWW8dEd"
"HillaryClinton","Bill and I are about to go on stage in Michigan with @RedHourBen—I’m not sure what we’ll talk about, I just know I'm looking forward to it. See you soon, Detroit."
"HillaryClinton","The president believes he is above the law. The president is wrong. https://t.co/WblIjvkwsl"
"HillaryClinton","'We always have to appeal to our better selves. The job of a leader is to appeal to us to be better than we would be on our own.' @HillaryClinton's advice for the 2020 candidates #WITW"
"HillaryClinton","No one in America should die because they can't afford insulin. https://t.co/qV5F2B5fK3"
"HillaryClinton","The administration's ban on transgender servicemembers begins today. It is abhorrent. Every American should be able to serve their country, and I can't believe we're still debating that in 2019. We have to reverse this as soon as we can."
"HillaryClinton",".@BillClinton and I are about to go on stage in NYC for a chat with @PaulBegala. Who knows what we’re going to talk about, but I’m sure it will include good stories and America's future, and we’ll try not to say the T word. If you're with us at the Beacon Theater, please say hi!"
"HillaryClinton","There is a federal law banning FGM. It is the Department of Justice’s responsibility to defend it. 

They’re choosing instead to abandon the fight for the health and human rights of women and girls around the world. 

If you agree that’s outrageous, let them know: 202-353-1555 https://t.co/ucx74UIFrC"
"HillaryClinton","Yes we can. https://t.co/eUmF8hcOBe"
"HillaryClinton","When a gun is present in a domestic violence situation, the risk of the woman getting murdered rises by 500 percent. 

Tell your senators to stand up to the NRA, close the ""boyfriend loophole,"" and reauthorize the Violence Against Women Act. https://t.co/zFULxrG22H"
"HillaryClinton","Thank you, @DewSteele, for turning @EmergeAmerica into a powerful force to recruit and train Democratic women to run for office. With 690 Emerge alumni in office, you've helped transform our country’s representation, and (after a good rest!) I can't wait to see what you do next."
"HillaryClinton","The astronomical cost of insulin is a public health crisis. https://t.co/9ewKTzLTIO"
"HillaryClinton","The white nationalists certainly think MAGA is a white nationalist slogan. https://t.co/Pp8Z7hBFRc"
"HillaryClinton","Family separation profoundly harms children and their parents and we must oppose attempts to continue it at every turn. https://t.co/d7oioBwfwg #familiesbelongtogether"
"HillaryClinton","Let's be clear: This administration's dehumanization and cruelty toward migrants will not stop after Kirstjen Nielsen leaves office. It is their principal policy."
"HillaryClinton","Got to practice my snap last night with the best in the business. What a great show and night with Ain't Too Proud, The Life and Times of the Temptations. https://t.co/rA3PJyCyc3"
"HillaryClinton","If you have any junior-year college students in your life, make sure they know about Organizing Corps—an eight-week paid training program for young people who want to help Democrats win in 2020. The deadline to apply is April 8: https://t.co/zETMyXqJc9"
"HillaryClinton","A reminder of why the 2018 midterms were so important: Tens of thousands of people now have health care in Maine because Gov. Mills fulfilled the will of voters and expanded Medicaid. https://t.co/feHfaoXi9k"
"HillaryClinton","When at the @Cher Show... 

Thanks for the company, Bonnie and Mark (winners of our @Omaze contest)!

Photo: @jennyanina https://t.co/bGkEIVeBqM"
"HillaryClinton","Mitch McConnell reportedly has no interest in putting the #ForThePeople Act up to a vote in the Senate. 

Kentuckians: If you agree that we need to get money out of our politics and protect the right to vote, make sure he hears from you. https://t.co/8WqubV1TYZ"
"HillaryClinton","Next week, Bill and I will be in New York on the 11th with @PaulBegala (expect 2020 talk), Detroit on the 12th with @RedHourBen (expect belly laughs), and Philadelphia on the 13th with Nnamdi Asomugha (expect football &amp; Broadway chatter). Looking forward! https://t.co/jGd6elyrnt https://t.co/ESoZp2jrpN"
"HillaryClinton","I wish @TyroneGayle could see this: his family and friends have created a scholarship in his name at his beloved Clemson University to open more doors for African-American students who want to get into politics. If you’d like, you can help fund it here: https://t.co/SS2N78eFe2"
"HillaryClinton","When anti-choice politicians limit access to reproductive care, women die. 

Please read @ilyseh on why we must continue to fight the new wave of six-week abortion bans that make women collateral damage for extremist views: https://t.co/6Hq32TB4Vl"
"HillaryClinton","Only 0.1% of all elected officials in the U.S. identify as LGBTQ. 

Representation matters! 

For National #OutToWin Day, take a moment to ask a talented community leader or organizer to consider running for office: https://t.co/Gy8UiPSeCj"
"HillaryClinton","The data collected from the once-a-decade count of every person living in the U.S. will determine each state’s share of representatives in Congress and nearly $900 billion in federal funding for healthcare, education and other public services. 

https://t.co/lMQKLvISJs"
"HillaryClinton","Today is #EqualPayDay, marking how far into 2019 women have to work to match men's earnings from 2018. It's a good day to call your senators and ask them to support the Paycheck Fairness Act: https://t.co/7BpVLZbIsP"
"HillaryClinton","Facts:

- Puerto Ricans are Americans.
- Puerto Ricans have not received $91 billion in aid. 
- Puerto Rico is still waiting for the help its government should provide as they rebuild after 3,000 deaths and horrific damage."
"HillaryClinton","On this #TransDayOfVisibility, let's affirm that we see, stand by, and celebrate our transgender friends, family, and neighbors. https://t.co/NfvXJbcAzw"
"HillaryClinton","It's pretty simple: Men and women in the same job should get the same pay. The House has passed the #PaycheckFairnessAct to help make equal pay a reality. It's 2019! Let's get it done. https://t.co/8wg0yRR3ck"
"HillaryClinton","The #PaycheckFairness Act would ensure women are being paid what they deserve—by making important updates to the #EqualPay Act and reaffirming that every worker has the right to receive equal pay for equal work. https://t.co/2YLd3yJpU1"
"HillaryClinton","Every single Senate Democrat has signed on as a co-sponsor of the #ForThePeople Act to fix our broken democracy. 

Have Republican senators? Give them a call today and tell them you want automatic voter registration, early voting, and less money in politics: (202) 224-3121"
"HillaryClinton","I'm so happy to see candidates winning the right to use campaign funds for child care. We need more moms in office. https://t.co/WxVinX9TnW"
"HillaryClinton","A great opportunity for young people in Arizona, Florida, Georgia, Michigan, North Carolina, Pennsylvania, and Wisconsin: Gain in-the-field organizing experience this summer for 2020 and beyond with Organizing Corps. https://t.co/ta665O7UQq"
"HillaryClinton","Wonderful to hear Khizr Khan, with @MeghanMcCain on The View yesterday, speak about the ways patriotism can and should transcend partisanship: https://t.co/mfi1DC9UlV"
"HillaryClinton","@mintimm @kenscudder Congratulations x2, Mini! Such wonderful news."
"HillaryClinton","Make another suit. https://t.co/mu9w13xsi0"
"HillaryClinton","What can we do? 

Make sure your representatives are holding the administration accountable for this attack on our health care; organize to build political support for more coverage for more people. 

Health care is a human right, and we can realize that right in America."
"HillaryClinton","Unsurprisingly, this was a lie:
https://t.co/ja5tdCtjU6"
"HillaryClinton","If Republicans prevail in court:

- 20 million people will lose coverage
- Protections for pre-existing conditions will be gone
- Young people won't be able to stay on their parents' plans until age 26
- Limits on coverage will return
- Caps on out-of-pocket expenses will be gone"
"HillaryClinton","The move is a dramatic escalation on the attacks on Obamacare in the courts, even for the Trump administration. Under Jeff Sessions, the Justice Department had argued some parts of the law could stand. Now, all of the law's protections will be at the mercy of conservative judges."
"HillaryClinton","The Trump administration opened a new assault on Americans' health care yesterday by telling a federal appeals court that the entire law should be struck down. 

It's a sickening attack on people with pre-existing conditions, seniors, and young people. https://t.co/crIK0aIsvP"
"HillaryClinton","Two realities we must confront: 
1. Climate change won't just affect the coasts. 
2. Climate change is a national security issue. https://t.co/q32xFMjyUn"
"HillaryClinton","Proud to be part of making our democracy stronger by founding @FairCount - a new org working to make sure all people are counted in the upcoming census. Follow us to see how you can help. #2020Census.  Learn more at https://t.co/2TC0TYa51z or visit https://t.co/avgko7EZGQ."
"HillaryClinton","In the year since the March For Our Lives, the House has passed a historic bill that would require background checks on all gun purchases. 

Now we need a Senate that will vote on it and a president who will make it reality. https://t.co/zanjh1w8BR"
"HillaryClinton","In the space of a week, two young Parkland survivors have taken their own lives.

Nothing is worth the tremendous costs our young people bear because of our inaction on guns.

https://t.co/Erk20Np8ui"
"HillaryClinton","Wonderful news: Selene has been released from detention and is on her way home now. Thanks to everyone who spoke out. https://t.co/2EHPUCffDj"
"HillaryClinton","This is an awful story: A DACA recipient in good standing was told by her airline she could work on a route to Mexico. Now she's in detention and ICE is threatening to revoke her status. 

Please sign and get the word out: https://t.co/T98oNTwOFY"
"HillaryClinton","Nine years ago, the Affordable Care Act passed the House. @BarackObama signed it into law two days later. Millions of Americans have gotten care they wouldn't have otherwise, saving and changing lives. Hard work can pay off. Let's keep going. https://t.co/SirS0tevEh"
"HillaryClinton","@AOC Tell me about it."
"HillaryClinton","Under @jacindaardern's leadership, New Zealand has banned assault rifles and military-style semi-automatic weapons just six days after the Christchurch mosque attacks. 

Public servants didn't stop at offering thoughts and prayers. They chose to act. https://t.co/HuodopsJFp"
"HillaryClinton","Today’s congressional interns are tomorrow’s staffers and electeds - which is why paid internships are so critical to making this opportunity available to all. 

Now that funding is available, please share the news widely to help build a diverse summer intern class of 2019! https://t.co/voGjrXTmEg"
"HillaryClinton","Lost in the news this week: A 40-year-old man died in CBP custody on Monday. 

He is the fourth person to die in detention in recent months. The other fatalities include a 7-year-old girl and an 8-year-old boy. 

Congress must investigate conditions. https://t.co/Fe8p2Is6CO"
"HillaryClinton","""The right of citizens of the United States to vote in any primary or other election... shall not be denied or abridged by the United States or any State by reason of failure to pay any poll tax or other tax."" 

Amendment 24, Section 1. https://t.co/mKgufOUHJa"
"HillaryClinton","If you're thinking about running for office, take the @traindems 30-day challenge. By the end of April, you'll have the knowledge you need to run. 
Sign up now, and bring along a friend to join you: https://t.co/jXo1lw8BRc"
"HillaryClinton","Great question: Why is @senatemajldr so afraid of democracy? https://t.co/JRhwVACIsv"
"HillaryClinton","What was true in 1995 remains true today: women’s rights are human rights. 

The United States ought to preserve America's role as a leader in the fight for gender equality—not reverse it. 

We must reaffirm the historic Beijing Platform for Action. https://t.co/78wbJHC0W6"
"HillaryClinton","Just another example of why you need to run for a local election authority position: https://t.co/Fbm2HYqlMA 

https://t.co/SLqmYnUGhT"
"HillaryClinton","This week's congressional recess is a great opportunity to talk to your representatives face to face about why they should support automatic voter registration, nationwide early voting, and other fixes to our democracy. Find a town hall near you: https://t.co/AKazN0Cw6i"
"HillaryClinton","Young people around the world achieved something extraordinary on Friday: A strike to demand climate action that touched all corners of the globe. 

Countries around the world should listen and act. ""There is no Planet B.” https://t.co/27fbKhBKmB https://t.co/k9ccxUzNO4"
"HillaryClinton","My thoughts are with everyone affected by record-breaking river flooding along the Mississippi and Missouri rivers, particularly hard-hit Nebraska. Nine million people in 14 states are under flood warnings that could persist for weeks. https://t.co/lOsLgmrWW9"
"HillaryClinton","If you want a career in politics but don’t know where to start, take a look at the @TrainDems staff academy. Their mission is to recruit, train, and help place the next generation of Democratic campaign staff: https://t.co/GSjiT1zs46"
"HillaryClinton","Let your representatives know what you think about the proposed budget and who it values. Make sure your friends and family do too."
"HillaryClinton","2. Send $8.6 billion to the president's border wall project to address a nonexistent national emergency, on top of $7 billion the administration has already allocated."
"HillaryClinton","Instead of investing in Americans and their families, the Trump budget would: 

1. Add $33 billion to the Defense budget for a total of $718 billion. 

Even without those additions, our defense budget is equal to the military spending of half the world. https://t.co/Vz7XHQWalP"
"HillaryClinton","The budget would cut or remove the following over the next decade:

- $845 billion from Medicare
- $241 billion from Medicaid
- $220 billion from the SNAP nutrition program for low-income families
- $207 billion from federal student loan programs"
"HillaryClinton","An administration's budget says a lot about what—and, more importantly, who—it values. 

So let's talk about the Trump administration's 2020 budget proposal and why it makes clear that this administration doesn’t value seniors, low-income families, and young people."
"HillaryClinton","As 2020 policy discussion gears up, @genebsperling’s piece on the dignity of work is terrific food for thought on why conversations about economic opportunity shouldn’t be confined to traditional metrics. After all, economic opportunity is about people. https://t.co/zt7U3ClVur"
"HillaryClinton","My heart breaks for New Zealand &amp; the global Muslim community. We must continue to fight the perpetuation and normalization of Islamophobia and racism in all its forms. 

White supremacist terrorists must be condemned by leaders everywhere. Their murderous hatred must be stopped."
"HillaryClinton","Three amazing young women—Isra Hirsi, age 16; Haven Coleman, age 12; and Alexandria Villaseño, age 13—have organized youth climate strikes around the country tomorrow. Their demand: a livable future for their generation.

Find a strike and spread the word: https://t.co/AXx41ldvsR https://t.co/i5FVRrGh5u"
"HillaryClinton","To fix our broken democracy, we need automatic voter registration, early voting for everyone, and less money in politics. 

The House passed the #ForThePeopleAct to make those changes. Now it's up to the Senate. 

Ask your senators to co-sponsor the bill: https://t.co/mgeoksChQz"
"HillaryClinton","I'm so proud to support @VoteMamaUS, and let's say it louder for the people in the back: Make moms running for office the norm, not the exception! https://t.co/rFhS8VEpPe"
"HillaryClinton","Historic numbers of people are running for office, and @KChildsGraham's new book captures the inspiration of 35 candidates' stories in one volume—including a foreword from @TammyforIL! As an added bonus, part of the proceeds go to @runforsomething. https://t.co/l55ZeTvzi5 https://t.co/DSR9Vffbob"
"HillaryClinton","Tonight, @hillaryclinton got the perfect FaceTime while joining @liuba4congress for the launch of @votemamaus https://t.co/dMf8T2SSKP"
"HillaryClinton","Take a minute and read these quotes.

It’s easy to forget after 2 years of blustering and lies, but the only real evidence of bias was never about Trump. It’s how Rudy Giuliani knew before Americans did that Jim Comey was going to do what he did. https://t.co/umomwWbXMT"
"HillaryClinton","I’m so proud of @dougblandry for bringing together 1,800 people from across the country this weekend to learn how to perform one of the most important functions on campaigns: advance work for events. If you’re interested in learning more, sign up at https://t.co/QScmNKzizX! https://t.co/qlrJx96tyQ"
"HillaryClinton","Until he retired recently, Ambassador Bill Burns was the most senior official in the foreign service. His new book, The Back Channel, is another great act of public service in its wise and plainspoken account of the power and purpose of American diplomacy. https://t.co/3JqUmSQsSu https://t.co/NpfnzMdk7f"
"HillaryClinton","The message that women’s rights are human rights was censored on Chinese radio and television in 1995, but it reached the open web. #Web30 #ForTheWeb https://t.co/aZqxxh9YDq"
"HillaryClinton","Our democracy should work for everyone. House Democrats have passed a bill that would fix it through:

- Automatic voter registration
- Early voting everywhere
- Public election financing
- An end to gerrymandering

Call your senators and ask them to support #HR1: (202) 224-3121"
"HillaryClinton","“Changing the type of people who are empowered to run for office, manage campaigns, and move up in elected office does not happen automatically.” New research from the Pipeline Initiative on what stops people from running, and what we can all do to help: https://t.co/1fWHGANQw2 https://t.co/B0rv59iArY"
"HillaryClinton","https://t.co/5oPekPpyVu"
"HillaryClinton","Young women can run the world. These are the stories of some who did—including HFA alum @arosaflores! https://t.co/i9ZxaoYXAt"
"HillaryClinton","Women aren't ""bossy."" We're the boss. Words matter, and being aware of gender bias in the way we relate to each other can make workplaces—and the world—better for everyone. Visit https://t.co/s2suGTweCQ for tools to #BiasCorrect. #IWD19 https://t.co/Ib9NKpY9pV"
"HillaryClinton","So think of a woman you know who should run for office. Then take a moment today to ask her to do it. 

Tell her she'll have help from @emergeamerica, @emilyslist, @runforsomething, and you. 

With one question, you could start something pretty big."
"HillaryClinton","For #InternationalWomensDay, I'm issuing you a challenge. 

We know that when women run for office, they're elected at the same rate as men. 

But not as many women run as men—often because people don't ask women to run as often as they ask men."
"HillaryClinton","In other words: Women's rights are human rights and human rights are women's rights. Period. 

Call your members of Congress today and ask them to support the Reproductive Rights Are Human Rights Act: (202) 224-3121 #ReproRightsAreHumanRights"
"HillaryClinton","By requiring annual reporting on women's access to basic health care like contraception, safe abortion, and maternal health care around the world, Congress can make sure the rights of women and girls will no longer be up for grabs in each election."
"HillaryClinton","Women's reproductive rights are human rights that are universal and indivisible. 

Governments do not get to pick and choose whose rights and which rights will be respected."
"HillaryClinton","I introduced reproductive rights sections to the reports while I was secretary of state because access to reproductive health care is a protected human right affecting women's right to life, equality, and freedom from inhumane treatment."
"HillaryClinton","Her U.S. asylum officer opens up the State Department's human rights reports and finds no information about those 17 women imprisoned for miscarrying or El Salvador's abortion ban. He deems she has no credible fear of persecution if she returns home. He denies her application."
"HillaryClinton","Imagine how this can play out. A woman living in El Salvador, where abortion is banned, is raped and becomes pregnant. She suffers a miscarriage and decides to flee the country knowing that 17 of her countrywomen were sentenced to up to 40 years in prison after miscarrying."
"HillaryClinton","Of particular note: U.S. immigration judges and asylum officers use the human rights reports to evaluate the credibility of an applicant's fear of persecution. Human rights reports that contradict an asylum seeker in virtually any way can be fatal to an asylum application."
"HillaryClinton","Human rights advocates, lawmakers, academics, businesses, NGOs, and other institutions all over the world use the reports to inform their work as well."
"HillaryClinton","Some background: 

All branches of the U.S. government use the State Department's human rights reports to shape policy and inform decision-making around diplomacy and allocations of aid and security."
"HillaryClinton","Important legislation introduced yesterday: The Reproductive Rights Are Human Rights Act would correct the Trump administration's dangerous decision to remove reporting on reproductive rights from the State Department's annual reports on human rights practices around the world."
"HillaryClinton","W A T C H <U+0001F4FA> ""We should be doing everything we can to protect and defend the right to vote."" @HillaryClinton speaks at the National Voting Rights Museum &amp; Institute after being honored in #Selma, Alabama at the 54th Annual #SelmaJubilee

https://t.co/u85r3e48el"
"HillaryClinton","NEW: A federal court struck down the Trump administration’s rollback of a key equal pay protection and reinstated the protection for nearly 63 million workers. https://t.co/Y71NSn3BmJ"
"HillaryClinton","It is finally here--the Alliance's 2018 Annual Report! From passing progressive policies in states to registering 130,000 voters, 2018 was our year. Check out the report and learn more about how young people are building a winning movement. https://t.co/4AlJ3utFof https://t.co/HSOZ51ssWL"
"HillaryClinton","Thanks to @MikeBloomberg for deepening his commitment to progress on clean energy, the opioid epidemic, gun violence prevention, better public schools, and all the other pressing issues our feckless president won't take action on. This is service. https://t.co/6aJXo41uYP"
"HillaryClinton","https://t.co/nK9t5Voc6K"
"HillaryClinton","This Women's History Month, get to know a little about the women making history in their local communities RIGHT NOW!

https://t.co/5I8htCLuZu"
"HillaryClinton","Our democracy is broken. #HR1, would help fix it. 

Catch up on everything you need to know about automatic voter registration, restoring the Voting Rights Act, and lessening the influence of big money in politics and call your MoCs first thing tmrw! https://t.co/eN5URYv7Vg"
"HillaryClinton","I stand by this blurb! ""The Woman's Hour"" is out today in paperback. @efweiss5 https://t.co/xdPWru6WLM"
"HillaryClinton","Twenty-one states are filing lawsuits this week to stop the administration's gag rule on clinics referring women for abortions. As @OregonGovBrown said: Everyone deserves the ability make their own decisions about their health care. https://t.co/mju1ubFiaG"
"HillaryClinton","Thank you to everyone who called CBP or their member of Congress this weekend to help a group of families in Mexicali get re-entry to the U.S. This is a huge step forward in getting them reunited with their kids. https://t.co/uB2RMI8Gim"
"HillaryClinton","Quite a scene in Selma today on the 54th anniversary of Bloody Sunday. https://t.co/qMf2MGtfpu"
"HillaryClinton","I was so honored to be invited to participate in the #SelmaJubilee this weekend.

We're living through a full-fledged crisis in our democracy. But history teaches us that when the struggle feels the hardest is when marching forward is most important. https://t.co/BDDJmkvk7A"
"HillaryClinton","Hillary Clinton speaks at Selma Anniversary breakfast: ""We aren't going to win every fight -- take that from me. But history does teach us that the times when the struggle feels the hardest are the times when marching forward is the most important."" https://t.co/euE0zvZHCr"
"HillaryClinton","Back in Selma, Alabama this morning to kick off the #SelmaJubilee. Lots of events throughout the day. Tune into the Unity Breakfast where I’ll talk about the fight for voting rights &amp; how it must be central to a 21st century civil rights movement.
https://t.co/mo5QbiNznr"
"HillaryClinton","A second call you can make right now to help families who want to reunite with their kids: 

Call your member of Congress and ask them to put pressure on CBP to grant asylum to parents applying in Mexicali today. 

The Capitol switchboard number is 202-224-3121."
"HillaryClinton",".@fams2gether, @ACLU and others are in Mexicali today working to reunify families the administration has separated. Help by calling @CBP now at 1-855-681-1349 and demand that CBP allow parents to apply for asylum—their legal right—so they can be reunited with their children."
"HillaryClinton","A year and a half after Hurricane Maria devastated Puerto Rico, HUD finally approved a new recovery plan with $8.2B in additional funding.

We won't stop holding this administration accountable &amp; pushing for recovery efforts to remain a national priority. 
https://t.co/ugw6BjuPbO"
"HillaryClinton","For me, and all other families who know the pain of losing a loved one to gun violence - this has been a historic week. 

Momentum is on our side, and we are making our nation safer.

https://t.co/P2CZOxLClG"
"HillaryClinton","Ever dreamed of working on a political campaign, but don't know where to start? @traindems can help. Learn more about the new NDTC Staff Academy: https://t.co/GSjiT1zs46"
"HillaryClinton","Babies should not be in detention. 

“At least nine infants younger than a year old, including one who is just 5 months old, are being held in ICE custody at a rural Texas detention center without care that's legally required.” 
https://t.co/qsiJdhxJj2"
"HillaryClinton","The House just passed a bill to require background checks on all gun sales in the country. It's the first gun control legislation to pass since 1994. Thank @gabbygiffords, @lucymcbath, @speakerpelosi and so many others for their work on this issue by calling your senators!"
"HillaryClinton","Permanent funding should be a bipartisan matter and easy to get done. Indeed, it should have been done already. 

Call your member of Congress now and ask them to vote for the ""Never Forget the Heroes"" Act: (202) 224-3121"
"HillaryClinton","After the attacks, we worked to put funding in place for first responders working in hazardous conditions. Since 9/11, over 40,000 first responders have come down with cancer, asthma, and other conditions from the toxins they were exposed to. https://t.co/gHMr4Kf0X3"
"HillaryClinton","An important thing you can do today: Call your member of Congress and ask her or him to vote for permanent funding for the September 11th Victim Compensation Fund, which is running out of money as people continue to suffer effects of the attacks."
"HillaryClinton","Want to make a difference in your local elections? Check out our partnership with @runforsomething to see how you can run for local election authority<U+2192> https://t.co/aHTJzyjqx0"
"HillaryClinton","""Farms like this show us the way for Puerto Rico being food independent."" 

Meet Franco and Natalia and watch President @BillClinton, @HillaryClinton, and @ChefJoseAndres visit their smart farm, Cosechas Tierra Viva. https://t.co/Bc6RnzrnTq"
"HillaryClinton","We have many fights ahead—from reuniting separated families to making sure the workers who care for families and homes across the country are treated with dignity and respect. 

I hope you’ll take a moment to learn more about NDWA and their mission: https://t.co/ALmciZULsP"
"HillaryClinton","I met with @aijenpoo and @aliciagarza to talk about ways we could continue working together, and a partnership was born."
"HillaryClinton","Since last summer, @OnwardTogether has raised more than $1.8 million for the groups working to protect the kids and families separated by ICE, including Families Belong Together, NDWA's initiative to fight the Trump administration's family separation policy."
